3;floating_harbor;126.18;9.50;1703.12;-4.12;11116
5;floating_harbor;1570.87;9.50;1890.26;0.46;10800
5;floating_harbor;1513.87;9.50;1887.26;0.46;10809
6;floating_harbor;3341.00;9.50;1939.00;-4.70;7331
6;floating_harbor;3854.40;9.50;1935.20;0.93;10770
8;floating_harbor;4378.13;9.50;1935.26;-0.46;6871
8;floating_harbor;4395.60;9.50;1923.50;-0.38;6909
8;floating_harbor;4450.82;9.50;1872.88;-0.98;9359
8;floating_harbor;4460.98;9.50;1840.50;-1.64;10166
8;floating_harbor;4340.87;9.50;1938.26;0.46;10771
8;floating_harbor;4415.95;9.50;1909.95;-0.79;10783
10;floating_harbor;215.00;9.50;1696.00;1.57;11136
11;floating_harbor;3786.74;9.50;1905.13;1.11;10786
11;floating_harbor;3831.70;9.50;1914.97;-0.10;10788
11;floating_harbor;3785.63;9.50;1898.99;0.05;10804
13;floating_harbor;574.57;9.50;1902.42;0.69;3752
13;floating_harbor;616.70;9.50;1904.79;-0.24;10792
13;floating_harbor;635.50;9.50;1881.60;-1.19;10814
13;floating_harbor;655.88;9.50;1878.82;-0.59;10819
13;floating_harbor;683.00;9.50;1857.00;-1.57;10835
15;floating_harbor;3609.20;9.50;1856.76;0.26;10885
18;floating_harbor;2548.88;9.50;1790.18;-2.55;10947
18;floating_harbor;2614.13;9.50;1773.05;-3.27;10965
18;floating_harbor;2512.79;9.50;1754.30;-1.82;11015
19;floating_harbor;1141.31;9.50;1824.06;1.27;10902
21;floating_harbor;783.13;9.50;1808.74;-2.68;10910
25;floating_harbor;3473.87;9.50;1852.26;0.46;5367
25;floating_harbor;3498.16;9.50;1854.75;0.27;7974
25;floating_harbor;3455.37;9.50;1851.86;-0.20;10859
26;floating_harbor;3417.95;9.50;1849.95;-0.79;10875
31;floating_harbor;4471.88;9.50;1825.82;-0.59;10908
32;floating_harbor;2340.38;9.50;1840.48;-0.88;2906
32;floating_harbor;2376.87;9.50;1826.26;0.46;5927
32;floating_harbor;2364.07;9.50;1825.70;-0.62;7392
39;floating_harbor;1126.21;9.50;1820.64;-0.32;8616
39;floating_harbor;1088.29;9.50;1813.94;0.56;10932
41;floating_harbor;3104.71;9.50;1697.06;-2.58;11106
48;floating_harbor;2525.43;9.50;1714.76;-1.17;11104
49;floating_harbor;992.18;9.50;1791.88;0.98;10963
49;floating_harbor;961.05;9.50;1774.95;0.79;10992
54;floating_harbor;725.43;9.50;1758.76;-1.17;11017
54;floating_harbor;703.50;9.50;1678.40;-1.95;11151
62;floating_harbor;4582.64;9.50;1688.21;-1.25;11146
68;floating_harbor;865.31;9.50;1714.06;1.27;4969
68;floating_harbor;925.63;9.50;1758.13;0.50;11066
77;floating_harbor;3291.00;9.50;1633.00;1.57;11248
82;floating_harbor;194.00;9.50;1541.00;-2.70;17767
83;floating_harbor;474.00;9.50;1543.00;-3.14;11478
84;floating_harbor;828.50;9.50;1665.60;1.19;11182
